source,date,beds,rent,sqft,lat,lng,below_fmr
Zillow,2021-04-11,4,2800,2383,30.359,-97.953,FALSE
Zillow,2021-04-11,0,2500,NA,30.434,-97.877,FALSE
Zillow,2021-04-11,1,1775,672,30.299,-97.733,FALSE
Zillow,2021-04-11,3,1925,1511,30.153,-97.739,FALSE
Zillow,2021-04-11,3,1650,1052,30.379,-97.661,FALSE
Zillow,2021-04-11,1,1050,680,30.319,-97.691,TRUE
Zillow,2021-04-11,5,2550,3054,30.356,-97.61,FALSE
Zillow,2021-04-11,3,2200,1100,30.324,-97.731,FALSE
Zillow,2021-04-11,3,4500,1928,30.232,-97.765,FALSE
Zillow,2021-04-11,4,2995,2655,30.312,-97.714,FALSE
Zillow,2021-04-11,1,1025,450,30.295,-97.743,TRUE
Zillow,2021-04-11,3,1750,902,30.202,-97.782,FALSE
Zillow,2021-04-11,3,1700,1244,30.197,-97.752,FALSE
Zillow,2021-04-11,1,1965,759,30.275,-97.764,FALSE
Zillow,2021-04-11,1,1545,695,30.247,-97.777,FALSE
Zillow,2021-04-11,3,3900,1575,30.261,-97.761,FALSE
Zillow,2021-04-11,2,3100,870,30.267,-97.705,FALSE
Zillow,2021-04-11,3,3900,1350,30.312,-97.755,FALSE
Zillow,2021-04-11,1,1095,637,30.213,-97.778,TRUE
Zillow,2021-04-11,1,1295,654,30.23,-97.765,FALSE
Zillow,2021-04-11,2,1250,1000,30.195,-97.74,TRUE
Zillow,2021-04-11,4,1950,1630,30.009,-97.886,FALSE
Zillow,2021-04-11,4,1895,1533,30.007,-97.878,FALSE
Zillow,2021-04-11,4,2150,2146,29.821,-97.936,FALSE
Zillow,2021-04-11,3,1999,2146,30.008,-97.881,FALSE
Zillow,2021-04-11,1,1100,650,30.104,-97.861,TRUE
Zillow,2021-04-11,3,1950,2050,30.526,-97.702,FALSE
Zillow,2021-04-11,4,1999,1700,30.449,-97.8,FALSE
Zillow,2021-04-11,4,2250,2038,30.498,-97.783,FALSE
Zillow,2021-04-11,4,2800,2943,30.513,-97.805,FALSE
Zillow,2021-04-11,1,1250,1000,30.673,-97.711,FALSE
Zillow,2021-04-11,3,2500,1600,30.454,-97.785,FALSE
Zillow,2021-04-12,3,1850,2102,30.147,-97.742,FALSE
Zillow,2021-04-12,3,2500,2152,30.347,-97.686,FALSE
Zillow,2021-04-12,2,1350,1000,30.207,-97.787,TRUE
Zillow,2021-04-12,4,1750,1550,30.427,-97.636,TRUE
Zillow,2021-04-12,1,2100,1100,30.316,-97.718,FALSE
Zillow,2021-04-12,2,3450,1157,30.261,-97.759,FALSE
Zillow,2021-04-12,1,1050,657,30.359,-97.732,TRUE
Zillow,2021-04-12,3,1950,1780,30.473,-97.618,FALSE
Zillow,2021-04-12,3,2650,1380,30.358,-97.724,FALSE
Zillow,2021-04-12,3,2050,1300,30.201,-97.7,FALSE
Zillow,2021-04-12,4,2300,2806,30.409,-97.639,FALSE
Zillow,2021-04-12,2,3000,1230,30.293,-97.728,FALSE
Zillow,2021-04-12,3,6400,2528,30.243,-97.726,FALSE
Zillow,2021-04-12,3,2175,2573,30.28,-97.627,FALSE
Zillow,2021-04-12,2,6000,1750,30.275,-97.729,FALSE
Zillow,2021-04-12,2,2600,1000,30.255,-97.723,FALSE
Zillow,2021-04-12,1,1420,843,30.317,-97.715,FALSE
Zillow,2021-04-12,3,3000,1818,30.314,-97.918,FALSE
Zillow,2021-04-12,1,1075,815,30.415,-97.667,TRUE
Zillow,2021-04-12,3,3200,1160,30.247,-97.764,FALSE
Zillow,2021-04-12,4,2500,1772,30.202,-97.841,FALSE
Zillow,2021-04-12,2,1530,1450,30.366,-97.746,FALSE
